First Name,Last Name,Medicaid ID,SSN Last 4,Date of Birth,Verification Text Status,Verification Code,Home Street,Home City,Home State,Home Zip,Mailing Street,Mailing City,Mailing State,Mailing Zip,Cell Phone,Email,Alternative Phone,Preferred Contact Method
Jessica,Ramirez,9901592567,3212,2009-12-01,Sent,943539,88713 Bullock Avenue,Lake Sarahmouth,CO,25046,712 Tina Square,Maysbury,CA,40714,2847851923,matthewchapman@duran.org,560-833-5270x48335,Phone Call
Ralph,Murphy,,3251,1985-04-25,Sent,163225,6959 Odom Groves,Lake Stephanie,WI,10464,344 Ford Lock,East Margaretstad,MD,34157,5121932059,martinezronald@hotmail.com,226.171.4050,Text
Ashley,Avila,4658153376,3760,1993-07-08,Not Sent,,868 Dennis Burgs,Ryanberg,OR,54746,8295 Morris Causeway Apt. 475,Riceside,AZ,99263,+1-944-667-7351x96190,donaldgonzalez@hurley.biz,+1-247-161-7059x5490,Text
Kathy,Richardson,3036118809,9140,2019-04-11,Not Sent,,59430 Jacobs Roads Apt. 746,South Jasonville,PA,53869,000 Bradley Ways,East Christopher,NE,33996,8811470488,maria46@gmail.com,310-377-7506x108,Phone Call
Brandon,Powell,3336424025,7299,1960-01-02,Sent,702122,74563 Eaton Creek,East Hannahshire,ND,03453,6764 Smith Cliff Apt. 063,North Michael,KS,29269,866-911-1741x19484,george50@brown.org,(745)586-9014x208,Phone Call
Glenn,Harris,,3963,1998-04-19,Sent,396280,983 Shelley Fork Suite 689,New Craig,NY,24197,0435 Allison Run,Thomasview,NV,10854,6775704150,meganlawson@hotmail.com,208.329.9098x32003,Text
Donna,Foster,5128868898,8272,1970-02-25,Sent,826584,343 Amy Road Apt. 572,New Ronald,OR,19551,8669 Anderson Plain Apt. 430,Mistymouth,CT,45005,750-401-9687,jacobsbrenda@spencer.info,+1-568-932-0904x5188,Email
Lori,Curtis,2569864087,4723,2019-05-20,Not Sent,,93286 Brian Roads,Walkerton,FL,20058,6366 Morrison Burg,South Bill,MD,77960,953-797-4934x4534,handrade@hotmail.com,111.023.3580,Text
Andrew,Smith,5806700519,3474,1991-07-02,Sent,989851,6349 Gutierrez Summit Suite 159,Coltonland,MA,68914,7669 Mitchell Overpass Apt. 243,North Kyle,SD,64631,001-795-070-6739x33577,thomasroy@hotmail.com,001-939-380-5002,Email
Paul,Stone,8308210969,1288,1935-12-22,Sent,730041,4255 Monica Plaza Apt. 955,Emilyview,HI,74487,4170 Sanchez Prairie Suite 718,Martinezbury,AK,72111,228.522.7849x649,cassidyware@yahoo.com,162.051.4565x89864,Email
Paul,Moody,9687030920,5060,1956-04-15,Sent,929197,5410 Heather Forks Suite 464,Weaverville,ME,95996,019 Vincent Plaza,Sandersmouth,IA,00640,+1-400-657-5801x3581,brownmary@wallace-gilbert.org,001-045-846-0557,Phone Call
Steven,Watkins,3474310820,3267,1982-04-06,Sent,847620,3460 Foster Plains Apt. 438,East Rachel,MI,48182,90069 Andres Ville Apt. 996,Martinmouth,RI,63609,257-640-4512,tina23@nunez.biz,(933)629-0048,Phone Call
Angelica,Martinez,6293820675,1032,2008-02-05,Sent,127340,072 Thomas Drive Apt. 441,Travisland,WV,29060,2302 Contreras Cliffs,Wilsonfurt,WV,15626,395-049-4752,logan68@gmail.com,445-831-8974x3325,Text
Gabrielle,Ramirez,9948448460,4239,1939-08-15,Sent,602277,889 Brooks Walks Apt. 347,Stephenchester,NH,74655,704 Paul Roads,East Sheryl,NJ,98857,338.350.5789,keith70@hotmail.com,+1-427-082-6667,Phone Call
Tracy,Floyd,1424074195,6494,1974-04-11,Sent,836649,3527 Joel Gardens,New Devinside,NM,78544,46014 Ortiz Brook,Alyssaton,ME,40172,489-483-3288x116,luis51@hotmail.com,(747)840-5864,Phone Call
Beth,Wolf,,7453,2015-06-21,Sent,610744,7120 Alvarez Loaf,Brandtchester,VA,90535,28293 Paula Ways,South Jennifer,AZ,03501,2047472795,preid@hotmail.com,001-217-468-4963x9250,Text
Becky,Larson,4642628508,7461,1969-01-30,Not Sent,,427 Gomez Trail,North Mitchellside,LA,87036,8518 Alexander Rest Apt. 936,Christophermouth,NY,95859,385-994-6124,garciawilliam@duran.com,+1-674-593-1338x849,Phone Call
Jennifer,Tran,,9661,2002-12-14,Sent,760363,481 Oscar Square Suite 173,Port Craig,HI,68102,317 Natasha Turnpike,Lawrencemouth,ND,86921,176-551-8026x342,srodriguez@hood-griffith.com,001-048-874-8534,Email
Jennifer,Barron,7707893147,9602,1961-12-01,Sent,991567,7647 Gary Bypass,South Josephview,UT,92789,03588 Melissa Views Apt. 326,Bridgetberg,GA,59274,9333386395,luismoore@gmail.com,080.668.9177x1019,Phone Call
Michael,Houston,3960224035,2388,1996-07-01,Sent,332648,6822 Cruz Crossing Suite 269,Conniefort,WV,37526,089 Carlson Island,Ericksonborough,ME,12800,001-073-998-5656x86034,davenportbianca@hotmail.com,372-296-0502x8538,Phone Call
Natalie,Frank,3167798228,6692,1947-04-12,Not Sent,,0437 Wilson Plain Apt. 266,East Krystal,FL,18384,3967 Michael Trail Suite 202,Marktown,NC,21270,+1-806-236-2035,philipstrickland@hotmail.com,477.439.7656x997,Text
Sierra,Mcclure,6127007951,7324,1992-05-31,Not Sent,,14950 Wilcox Corners,Amandaburgh,NM,44344,955 Stevens Mount Apt. 580,New Annetteberg,LA,68049,001-764-475-8358x6046,hernandezleonard@curtis.com,462-450-7996,Email
Devin,Silva,6042915841,3103,1983-03-08,Sent,604628,009 Susan Views Suite 428,Porterside,WV,74874,7737 Andrea Pike,Nicholsport,ID,35195,132.993.1852x1011,grosssusan@hernandez.net,8403177521,Email
Brianna,Chandler,2902464954,4774,1979-12-14,Not Sent,,4551 Clark Spurs Apt. 037,Lake Amyville,CT,50732,631 Robert Stravenue Suite 341,Port Garrett,MS,39826,465.817.1322x17255,qtucker@henry-sherman.com,440.156.5594x2150,Email
Jacob,Glenn,,9992,1981-10-03,Sent,883638,726 David Common,Higginsmouth,GA,70309,523 Keith Walk Apt. 430,South Mary,MI,15929,349.962.5505,mitchelljoshua@gmail.com,466.351.6170x0836,Email
Samantha,Alvarez,,3892,1965-03-23,Not Sent,,92600 Wright Mountains,Susanbury,IA,50662,50230 Julie Mission,Timothyfurt,AR,41412,013.358.2332x8698,fflynn@wall.net,+1-189-087-4318x68638,Email
Lisa,Williams,3989542260,5418,1974-06-07,Not Sent,,79861 Lee Road Suite 306,Johnsonburgh,SC,79137,238 Warren Orchard Suite 261,New Davidside,MI,13589,857-250-3004,adam61@allen.com,001-492-376-9713x568,Phone Call
Gina,Anderson,7297454377,6577,2003-09-10,Not Sent,,5861 Marissa Course,Lake Kristina,NM,21828,60506 Frank Club Suite 271,Kimberlyport,NM,66327,074-254-7292,lori10@allen.com,218-154-4374x513,Phone Call
Jesse,Vaughn,1188506870,7213,1955-10-01,Not Sent,,63823 Williams Flats Apt. 111,Richardbury,CO,14266,3395 Rodriguez Place Apt. 530,New Tina,DC,47098,+1-812-078-1971x5664,rodriguezyvonne@gordon.com,765-856-9182x9265,Text
Christina,Jones,,6988,1952-10-03,Not Sent,,025 Maldonado Port Apt. 414,North Robin,NC,25598,387 Tate Union Apt. 759,South Douglasport,MD,97889,001-030-256-7163x60133,lorischmitt@murphy.biz,+1-750-603-3579,Email
Jessica,Payne,1215663851,4251,1994-07-25,Sent,590721,70387 Simmons Prairie,North Robert,MA,66854,192 Nelson Road,East Billy,WV,70074,001-295-797-1889x2208,lynchryan@sanchez.com,(356)395-0016x8136,Text
Gary,Barnes,7790880895,6849,1950-06-05,Sent,184686,0355 Joseph Plains Suite 060,Port Michelechester,MI,44701,8011 Ferrell Brook Suite 598,South Miranda,SD,52597,(231)647-0270x0882,christyjones@myers.com,+1-940-957-9153x3343,Email
Mary,Thomas,,5396,1965-01-09,Not Sent,,5746 Saunders Point,Murphytown,CO,79978,1832 Smith Forest Apt. 231,South Christianmouth,MN,83017,5118456076,nstone@roberts.com,001-912-754-5992x5375,Phone Call
Brandon,Richards,,7909,1963-02-03,Sent,884083,39950 Pearson Manors,Rodriguezhaven,MO,98916,42192 Campbell Center Suite 626,Hendersonville,VT,85610,356.511.5495x000,owalsh@yahoo.com,(411)104-9891x0615,Phone Call
Craig,Bonilla,6173723408,6152,1948-03-09,Not Sent,,513 Katherine Streets,Annettechester,MD,24394,4499 Oconnor Dale,West Rogerborough,ME,02276,001-374-558-6769x338,troybowman@phelps.net,001-961-488-2744x25538,Phone Call
David,Harrell,,9370,1999-10-09,Sent,226920,10858 Walker Junctions Apt. 946,Wheelerstad,WV,54060,47311 King Roads Apt. 954,Ricardoville,TN,90664,0751538254,michaelroberts@long.org,(399)185-5988x29533,Text
Jason,Miller,,9672,1992-07-31,Sent,446139,5976 Rowe Fords Suite 062,Luisville,GA,98255,35354 Melinda Wall Suite 126,Taylorfort,FL,42302,869.001.0087x7433,oadams@hotmail.com,+1-013-219-4877x795,Email
Karen,Oconnell,,7883,2011-08-17,Sent,849187,564 Mark Corner Apt. 740,South Cindy,MN,90541,948 Christopher Neck Apt. 139,Smithside,WY,10164,(252)470-3330,christine24@gmail.com,001-629-252-4998x2543,Text
Melissa,Maxwell,,2972,1970-07-22,Sent,504475,83973 Holland Lock Apt. 157,Turnerfort,NM,94473,32758 Brian Fords,Norristown,NE,71377,2634645778,amandawatts@yahoo.com,113-061-1293x0872,Phone Call
Daniel,Crawford,,1016,1938-03-13,Sent,999371,2698 Wesley Run Suite 838,Jonathanville,SC,41959,31097 Crystal Forge Apt. 949,Jennifermouth,MN,44284,8514374085,ywaters@hotmail.com,345.389.9917x45021,Email
Tamara,Cox,8284714722,9921,1942-04-14,Sent,915887,5834 Anderson Island Suite 903,Robertstad,WV,23774,1794 Gabriel Port,West Emilyside,WV,87800,(455)535-0809x8831,jjames@hotmail.com,164.645.9195x1247,Text
Evelyn,Bryant,7734274332,9744,2023-04-28,Not Sent,,4253 Brown Village Apt. 019,Stephenfurt,DC,73320,93251 Gomez Crest,Perezstad,TN,82322,1874599083,pgraves@gmail.com,(228)427-7776,Phone Call
Austin,Neal,3779842122,8117,1991-01-12,Not Sent,,33959 Justin Glen Suite 791,East Melissa,SD,30138,5916 Margaret Lodge,South Rachael,CO,26275,504.364.4625,sanfordvalerie@yahoo.com,750-974-9746x466,Phone Call
Stephen,Rivas,,3428,1992-12-28,Sent,766421,457 Tabitha Glen,North Adrian,KS,52011,90519 Amanda Ford,North Anitaport,MN,90992,(531)043-5917,vbates@schwartz.com,495.271.7781x59423,Email
Samantha,Hester,,4269,1979-10-16,Sent,284190,5404 Timothy Port,New Jasonstad,CO,99626,086 Quinn Grove Apt. 532,Karenhaven,PA,45788,+1-361-651-9260x6204,mindyday@scott.com,001-732-832-9153x045,Phone Call
Christina,Castaneda,5383288428,3256,2013-01-12,Sent,733486,8393 Andrews Lakes,Sarahport,WA,41042,782 Hayes Motorway Apt. 790,Kathrynport,AL,81647,359-071-5238x00562,agreen@yahoo.com,505.638.9378,Phone Call
Christine,Soto,2843646632,9412,1957-01-31,Not Sent,,968 Wong Trail,Michaeltown,OK,42174,73803 Carl Forest Apt. 467,Port Robert,CT,97389,001-105-193-7843,emurray@gmail.com,826-544-4770x270,Email
Christina,Nunez,5670439625,1222,1960-02-06,Sent,992000,3636 Craig Track Suite 716,West Melissa,PA,37584,4121 Catherine View,Thomasmouth,MD,66965,802-553-6754x3787,carolynjones@yahoo.com,0189029463,Phone Call
Amy,Anderson,5591527955,8650,2017-12-20,Not Sent,,832 Ross Port Apt. 438,East Stevenview,NM,38149,355 Brittney Green Apt. 037,West Jerrymouth,UT,28940,(504)159-9643x579,lnewman@maxwell-holt.com,707-649-1351,Email
Joseph,Heath,5723835937,3608,1965-09-06,Not Sent,,33277 David Shores Suite 563,South Jasonfort,WY,55825,09668 Conner Shore Suite 834,East Christinafurt,GA,62796,504-392-1289x97495,sherrymartin@king.com,001-699-627-7303x4842,Email
Donna,Barnes,8163273446,4230,1974-06-02,Sent,272405,84933 David Viaduct,Port Bryce,NV,79757,43812 Crosby Manor Suite 493,Port Matthewstad,KS,50334,+1-136-681-6132x477,christina93@doyle-kemp.info,001-506-356-4492x1122,Text
Cameron,Warren,,5466,1953-08-03,Not Sent,,45373 Austin Extension,Lynnburgh,MI,26405,60431 Kim Inlet,Royshire,IA,53270,+1-431-294-9229x901,ewingmichael@foster.com,001-914-339-5429x269,Email
Michelle,Dunn,,9518,2019-04-13,Sent,188231,634 Mark Haven Suite 146,Rushport,MO,42968,06899 Mark Mountain Apt. 857,Jasonborough,SC,05929,001-886-430-9845x0023,kleintyler@johnson.biz,(805)460-0545x32265,Text
Gary,White,,7858,1966-06-13,Not Sent,,984 Diana Shoals Suite 206,Jamesfurt,NY,02183,841 Joshua Extension Suite 381,Joannachester,MI,30300,(721)190-9747x01409,fletcherkelly@yahoo.com,(258)513-4811x7464,Email
Cassandra,Pugh,8975351672,5667,1993-08-11,Sent,236612,3521 Hernandez Valley,Frenchborough,LA,63690,0496 Montgomery Overpass Apt. 722,South Robert,NC,94337,+1-226-898-7496x7690,justin89@gmail.com,+1-849-499-9871x624,Email
William,Perez,7509595804,4597,2004-11-28,Not Sent,,297 Preston Freeway,Port Diane,WA,05136,1243 Danny Knolls,Aguilarstad,UT,94382,577-521-7834x28488,jcox@gmail.com,747-988-7180,Phone Call
Amanda,Petty,3778621918,7996,2007-06-19,Sent,831808,84907 Amanda Stravenue Suite 049,Peterborough,MI,02943,14275 Valentine Plains Apt. 299,Allenfurt,WI,07470,895-640-4803,marcusmurphy@bowman.info,001-551-499-2491x8346,Phone Call
Erica,Villa,3270774230,7311,2022-12-10,Sent,223148,440 Sullivan Island Apt. 406,Christopherside,MT,64097,61558 Gomez Keys Suite 188,Romanborough,OK,88265,838.217.8467,cynthiasteele@gmail.com,386-743-1176,Text
Eric,Mann,7767912519,4624,2012-06-07,Not Sent,,07343 Samantha Parkway,East Gregoryview,NH,62680,407 John Club Suite 881,Port Debrachester,PA,61536,854.268.6097,christinelandry@yahoo.com,030-412-1386x22844,Phone Call
Brett,Carney,7781435085,6767,1996-02-17,Not Sent,,482 Townsend Vista Suite 051,New Elizabeth,MI,22609,34054 Schroeder Tunnel Suite 254,New Theresaland,CO,11434,475.348.1996,pinedaabigail@thomas.com,001-212-882-1613x409,Email
James,Baker,9728161673,1022,1984-04-30,Not Sent,,430 Kimberly Heights,Zhangside,FL,29392,4451 Darrell Village Suite 604,East Courtneyhaven,VT,89249,749.642.4285x970,garciamichelle@hotmail.com,+1-971-711-4690,Email
Jennifer,Johnson,2450646759,3270,2006-05-25,Not Sent,,780 Schmidt Row Apt. 401,North Jasmine,WV,75723,83834 Mitchell Keys Apt. 404,North Gwendolyn,VT,92860,001-643-038-1964,taylor23@kelley-butler.com,(909)683-1496x0425,Phone Call
Jennifer,Howard,4085975069,2173,1972-04-02,Sent,403989,706 Ana Track Suite 836,Browninghaven,AR,82396,018 Megan Glens,Lake Ronnie,AK,43185,407.869.1538,udiaz@yahoo.com,(552)987-3346,Text
Lucas,Adams,3087501539,3080,1994-06-26,Not Sent,,24043 Anderson Square,South Kathleenfurt,OK,57389,313 Pierce Mission,Port Shane,IN,62763,(083)478-8287x3165,kara48@short-smith.com,0819940868,Text
Danielle,Ball,6047242060,3209,1947-09-13,Sent,328834,3478 Graham Lake Apt. 172,Moorehaven,FL,84227,6536 Tracy Rapids Suite 091,North Johnport,OK,25645,+1-523-291-9817x59810,gavila@mcguire-lopez.info,7718038466,Phone Call
Tonya,Lopez,,2072,1940-07-17,Sent,979749,863 Larson Summit,Johnsonmouth,MN,75461,0850 Henry Station Apt. 144,Reyeshaven,MN,74320,+1-641-794-6802x172,ginachambers@miller.com,+1-088-351-5339x39121,Phone Call
Carolyn,Todd,5715786925,8161,1944-04-05,Sent,415380,2918 Myers Union Apt. 235,Port Rachel,RI,83526,353 Tanya Pike,Port Denise,RI,33744,951-069-9720x65212,ysmith@gmail.com,639.696.7536x487,Text
Mark,Potts,,6676,1971-05-23,Sent,243910,179 Eddie Stravenue Suite 631,Port Kelsey,ME,99503,91636 Melissa Plains,Smithhaven,HI,53109,894-382-4884,josephterry@murphy.com,320.635.6952x004,Email
Michael,Berry,2375263049,9996,2008-08-16,Sent,638055,97196 Lucas Lights Apt. 288,Rodriguezborough,MA,11760,25080 Perry Corners Suite 618,Mirandaborough,IA,08073,001-545-200-1898,julia93@yahoo.com,(391)111-3420,Phone Call
Rebecca,Dunn,9341834108,6097,1958-09-03,Not Sent,,946 Kimberly Freeway Apt. 328,Martinezburgh,OR,83599,106 Ray Island,Benjaminport,CO,84684,+1-182-425-1923,junderwood@hotmail.com,170.593.1315,Text
Daniel,Mack,2430942904,8803,1992-12-26,Not Sent,,5550 Pamela Stream Suite 546,Robertport,HI,04292,1443 Wood Hills,South Derrick,PA,69192,(202)914-8487,fosterrichard@wiley.biz,4059078337,Phone Call
Robert,Robbins,2989625011,6770,1972-08-15,Sent,423508,28450 White Ports Apt. 814,New Philip,RI,02302,67114 Joseph Ranch,Hugheshaven,MN,32352,188-456-7684x8501,kathyhurley@mcfarland.com,3608051325,Email
Ann,Williams,3781253850,3111,1968-03-24,Sent,702670,31915 Selena Meadow,Morrisberg,MI,05646,275 Adams Trail Suite 003,Chelseachester,RI,85698,001-190-450-7371x25043,hollymoore@yahoo.com,(985)592-7246x3768,Phone Call
Angela,Chambers,1876132649,5119,2003-10-23,Not Sent,,628 Melissa Shores Suite 184,South Kristymouth,NJ,89818,08202 Joseph Island,Port Shaunton,NM,08518,+1-727-348-6405x7221,chad33@hampton-le.com,6367909131,Email
Cynthia,Wade,3034722077,8800,1955-02-26,Not Sent,,292 Brown Corner Suite 163,West Zacharyton,WV,22604,28876 Adams Crossroad,East Cheryl,IN,78896,6791226935,ryanwatson@williams.com,033-573-9034x252,Text
Danielle,Warren,6658445312,9226,1985-06-26,Not Sent,,707 Natalie Mission Apt. 839,South Patrick,OK,67074,3066 Oliver Flats Apt. 171,Gloriachester,MA,85596,001-760-555-3257x9585,jasmine10@gmail.com,112.153.4437x379,Text
